Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N1C1W1_CL1_1_3_A.BPPFI, CL1_1_3,50,1,0,13,13,13,13,0,0,0,0,0,0.005,0.001,0,0,0.009
N1C1W1_CL1_1_3_B.BPPFI, CL1_1_3,50,1,0,14,15,15,15,0,202,1,153,153,0.006,150.001,0.046,0.031,150.184
N1C1W1_CL1_1_3_C.BPPFI, CL1_1_3,50,1,0,11,11,11,11,0,0,0,0,0,0.008,0.003,0,0,0.011
N1C1W1_CL1_1_3_D.BPPFI, CL1_1_3,50,1,0,13,13,14,13,0,49724,407,37216,37216,0.006,150.001,4.426,2.59,157.91
N1C1W1_CL1_1_3_E.BPPFI, CL1_1_3,50,1,0,13,13,13,13,0,0,0,0,0,0.006,0.071,0,0,0.078
N1C1W1_CL1_1_5_A.BPPFI, CL1_1_5,50,1,0,9,9,9,9,0,0,0,0,0,0.006,0.003,0,0,0.01
N1C1W1_CL1_1_5_B.BPPFI, CL1_1_5,50,1,0,10,10,10,10,0,0,0,0,0,0.006,0.003,0,0,0.01
N1C1W1_CL1_1_5_C.BPPFI, CL1_1_5,50,1,0,7,7,8,7,0,670793,6590,551495,551495,0.004,150.001,75.79,51.984,288.706
N1C1W1_CL1_1_5_D.BPPFI, CL1_1_5,50,1,0,9,9,9,9,0,0,0,0,0,0.005,0.003,0,0,0.009
N1C1W1_CL1_1_5_E.BPPFI, CL1_1_5,50,1,0,9,9,9,9,0,0,0,0,0,0.006,0.002,0,0,0.009
N1C1W1_CL2_1_5_A.BPPFI, CL2_1_5,50,1,0,11,11,11,11,0,0,0,0,0,0.005,0.003,0,0,0.009
N1C1W1_CL2_1_5_B.BPPFI, CL2_1_5,50,1,0,13,13,13,13,0,0,0,0,0,0.008,0.003,0,0,0.012
N1C1W1_CL2_1_5_C.BPPFI, CL2_1_5,50,1,0,10,10,10,10,0,0,0,0,0,0.005,0.001,0,0,0.008
N1C1W1_CL2_1_5_D.BPPFI, CL2_1_5,50,1,0,12,12,12,12,0,0,0,0,0,0.006,0.003,0,0,0.009
N1C1W1_CL2_1_5_E.BPPFI, CL2_1_5,50,1,0,11,11,11,11,0,0,0,0,0,0.005,0.002,0,0,0.007
N1C1W1_CL2_3_3_A.BPPFI, CL2_3_3,50,1,0,11,11,12,11,0,34300,583,25532,25532,0.005,150,2.483,1.336,154.487
N1C1W1_CL2_3_3_B.BPPFI, CL2_3_3,50,1,0,13,13,13,13,0,0,0,0,0,0.007,0.004,0,0,0.011
N1C1W1_CL2_3_3_C.BPPFI, CL2_3_3,50,1,0,10,10,10,10,0,0,0,0,0,0.004,0.003,0,0,0.007
N1C1W1_CL2_3_3_D.BPPFI, CL2_3_3,50,1,0,12,12,12,12,0,0,0,0,0,0.005,0.003,0,0,0.009
N1C1W1_CL2_3_3_E.BPPFI, CL2_3_3,50,1,0,11,12,12,12,0,215,1,166,166,0.005,150.001,0.047,0.036,150.177
N1C1W1_CL2_3_4_A.BPPFI, CL2_3_4,50,1,0,10,10,10,10,0,0,0,0,0,0.005,0.003,0,0,0.008
N1C1W1_CL2_3_4_B.BPPFI, CL2_3_4,50,1,0,11,11,11,11,0,0,0,0,0,0.005,0.004,0,0,0.009
N1C1W1_CL2_3_4_C.BPPFI, CL2_3_4,50,1,0,9,9,9,9,0,0,0,0,0,0.006,0.003,0,0,0.01
N1C1W1_CL2_3_4_D.BPPFI, CL2_3_4,50,1,0,11,11,11,11,0,0,0,0,0,0.007,0.003,0,0,0.011
N1C1W1_CL2_3_4_E.BPPFI, CL2_3_4,50,1,0,10,10,10,10,0,0,0,0,0,0.006,0.003,0,0,0.009
N1C1W2_CL1_1_3_A.BPPFI, CL1_1_3,50,1,0,13,14,14,14,0,214,1,165,165,0.006,150.001,0.048,0.027,150.169
N1C1W2_CL1_1_3_B.BPPFI, CL1_1_3,50,1,0,14,15,15,15,0,181,1,132,132,0.006,150.001,0.045,0.032,150.17
N1C1W2_CL1_1_3_C.BPPFI, CL1_1_3,50,1,0,16,16,16,16,0,0,0,0,0,0.007,0.004,0,0,0.011
N1C1W2_CL1_1_3_D.BPPFI, CL1_1_3,50,1,0,15,15,15,15,0,0,0,0,0,0.006,0.003,0,0,0.009
N1C1W2_CL1_1_3_E.BPPFI, CL1_1_3,50,1,0,16,17,17,17,0,194,1,145,145,0.005,150,0.045,0.029,150.16
N1C1W2_CL1_1_5_A.BPPFI, CL1_1_5,50,1,0,9,9,10,9,0,6590,65,4993,4993,0.005,150.001,0.854,0.583,151.675
N1C1W2_CL1_1_5_B.BPPFI, CL1_1_5,50,1,0,10,10,10,10,0,0,0,0,0,0.005,0.003,0,0,0.008
N1C1W2_CL1_1_5_C.BPPFI, CL1_1_5,50,1,0,11,11,11,11,0,0,0,0,0,0.006,0.003,0,0,0.009
N1C1W2_CL1_1_5_D.BPPFI, CL1_1_5,50,1,0,10,10,10,10,0,0,0,0,0,0.005,0.003,0,0,0.009
N1C1W2_CL1_1_5_E.BPPFI, CL1_1_5,50,1,0,11,11,12,11,0,10995,105,8384,8384,0.005,150.001,1.163,0.792,152.259
N1C1W2_CL2_1_5_A.BPPFI, CL2_1_5,50,1,0,12,12,12,12,0,0,0,0,0,0.005,0.003,0,0,0.009
N1C1W2_CL2_1_5_B.BPPFI, CL2_1_5,50,1,0,12,13,13,13,0,214,1,165,165,0.005,150.001,0.053,0.02,150.169
N1C1W2_CL2_1_5_C.BPPFI, CL2_1_5,50,1,0,13,14,14,14,0,121362,1126,88536,88536,0.006,150.001,10.316,6.726,168.775
