Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N1C1W1_CL1_1_3_A.BPPFI, CL1_1_3,50,1,0,13,13,13,13,0,0,0,0,0,0.005,0.004,0,0,0.009
N1C1W1_CL1_1_3_B.BPPFI, CL1_1_3,50,1,0,14,15,15,15,0,202,1,153,153,0.004,0.004,0.056,0.038,0.196
N1C1W1_CL1_1_3_C.BPPFI, CL1_1_3,50,1,0,11,11,11,11,0,0,0,0,0,0.006,0.004,0,0,0.01
N1C1W1_CL1_1_3_D.BPPFI, CL1_1_3,50,1,0,13,13,14,13,0,49724,407,37216,37216,0.006,0.004,4.87,4.026,10.075
N1C1W1_CL1_1_3_E.BPPFI, CL1_1_3,50,1,0,13,13,13,13,0,0,0,0,0,0.005,0.003,0,0,0.009
N1C1W1_CL1_1_5_A.BPPFI, CL1_1_5,50,1,0,9,9,9,9,0,0,0,0,0,0.005,0.005,0,0,0.011
N1C1W1_CL1_1_5_B.BPPFI, CL1_1_5,50,1,0,10,10,10,10,0,0,0,0,0,0.006,0.003,0,0,0.01
N1C1W1_CL1_1_5_C.BPPFI, CL1_1_5,50,1,0,7,7,8,7,0,670793,6590,551495,551495,0.004,0.006,79.405,55.395,146.752
N1C1W1_CL1_1_5_D.BPPFI, CL1_1_5,50,1,0,9,9,9,9,0,0,0,0,0,0.004,0.004,0,0,0.009
N1C1W1_CL1_1_5_E.BPPFI, CL1_1_5,50,1,0,9,9,9,9,0,0,0,0,0,0.003,0.007,0,0,0.01
N1C1W1_CL2_1_5_A.BPPFI, CL2_1_5,50,1,0,11,11,11,11,0,0,0,0,0,0.012,0.003,0,0,0.015
N1C1W1_CL2_1_5_B.BPPFI, CL2_1_5,50,1,0,13,13,13,13,0,0,0,0,0,0.004,0.002,0,0,0.009
N1C1W1_CL2_1_5_C.BPPFI, CL2_1_5,50,1,0,10,10,10,10,0,0,0,0,0,0.006,0.005,0,0,0.011
N1C1W1_CL2_1_5_D.BPPFI, CL2_1_5,50,1,0,12,12,12,12,0,0,0,0,0,0.005,0.004,0,0,0.01
N1C1W1_CL2_1_5_E.BPPFI, CL2_1_5,50,1,0,11,11,11,11,0,0,0,0,0,0.006,0.003,0,0,0.011
