Name,Class,N, #Node, #Node-P,#Col, #PriceCnt, LB0,LB, UB0,UB,Opt,Time
N1C1W1_CL1_1_3_A,CL1_1_3,50,1,0,373,37,13,13,13,13,1,0.19
N1C1W1_CL1_1_3_B,CL1_1_3,50,1,0,359,36,14,15,15,15,1,0.08
N1C1W1_CL1_1_3_C,CL1_1_3,50,1,0,411,41,11,11,11,11,1,0.06
N1C1W1_CL1_1_3_D,CL1_1_3,50,1,36,395,162,13,13,14,13,1,0.50
N1C1W1_CL1_1_3_E,CL1_1_3,50,1,0,323,32,13,13,13,13,1,0.06
N1C1W1_CL1_1_5_A,CL1_1_5,50,1,0,439,44,9,9,9,9,1,0.08
N1C1W1_CL1_1_5_B,CL1_1_5,50,1,0,460,46,10,10,10,10,1,0.11
N1C1W1_CL1_1_5_C,CL1_1_5,50,5,16,1577,250,7,7,8,7,1,23.99
N1C1W1_CL1_1_5_D,CL1_1_5,50,1,0,419,42,9,9,9,9,1,0.06
N1C1W1_CL1_1_5_E,CL1_1_5,50,1,0,379,38,9,9,9,9,1,0.06
N1C1W1_CL2_1_5_A,CL2_1_5,50,1,0,291,29,11,11,11,11,1,0.03
N1C1W1_CL2_1_5_B,CL2_1_5,50,1,0,323,32,13,13,13,13,1,0.03
N1C1W1_CL2_1_5_C,CL2_1_5,50,1,0,390,39,10,10,10,10,1,0.05
N1C1W1_CL2_1_5_D,CL2_1_5,50,1,0,334,35,12,12,12,12,1,0.03
N1C1W1_CL2_1_5_E,CL2_1_5,50,1,0,231,23,11,11,11,11,1,0.02
N1C1W1_CL2_3_3_A,CL2_3_3,50,11,20,832,164,11,11,12,11,1,1.27
N1C1W1_CL2_3_3_B,CL2_3_3,50,1,0,343,34,13,13,13,13,1,0.03
N1C1W1_CL2_3_3_C,CL2_3_3,50,1,0,311,31,10,10,11,10,1,0.03
N1C1W1_CL2_3_3_D,CL2_3_3,50,1,0,322,32,12,12,12,12,1,0.03
N1C1W1_CL2_3_3_E,CL2_3_3,50,1,0,352,35,12,12,12,12,1,0.03
N1C1W1_CL2_3_4_A,CL2_3_4,50,1,0,320,32,10,10,10,10,1,0.03
N1C1W1_CL2_3_4_B,CL2_3_4,50,1,0,312,31,11,11,12,11,1,0.05
N1C1W1_CL2_3_4_C,CL2_3_4,50,1,0,469,47,9,9,9,9,1,0.06
N1C1W1_CL2_3_4_D,CL2_3_4,50,1,0,411,41,11,11,11,11,1,0.05
N1C1W1_CL2_3_4_E,CL2_3_4,50,1,0,351,35,10,10,11,10,1,0.05
N1C1W2_CL1_1_3_A,CL1_1_3,50,1,0,334,33,13,14,14,14,1,0.03
N1C1W2_CL1_1_3_B,CL1_1_3,50,1,0,315,31,15,15,15,15,1,0.03
N1C1W2_CL1_1_3_C,CL1_1_3,50,1,0,286,28,16,16,16,16,1,0.03
N1C1W2_CL1_1_3_D,CL1_1_3,50,1,0,285,28,15,15,15,15,1,0.03
N1C1W2_CL1_1_3_E,CL1_1_3,50,1,0,277,27,16,17,17,17,1,0.02
N1C1W2_CL1_1_5_A,CL1_1_5,50,1,3,518,61,9,9,10,9,1,0.58
N1C1W2_CL1_1_5_B,CL1_1_5,50,1,0,321,32,10,10,11,10,1,0.03
N1C1W2_CL1_1_5_C,CL1_1_5,50,1,0,461,46,11,11,11,11,1,0.05
N1C1W2_CL1_1_5_D,CL1_1_5,50,1,0,390,39,10,10,10,10,1,0.06
N1C1W2_CL1_1_5_E,CL1_1_5,50,1,0,322,32,11,11,12,11,1,0.05
N1C1W2_CL2_1_5_A,CL2_1_5,50,1,0,282,28,12,12,12,12,1,0.03
N1C1W2_CL2_1_5_B,CL2_1_5,50,1,0,334,34,12,13,13,13,1,0.03
N1C1W2_CL2_1_5_C,CL2_1_5,50,318,37,1807,939,13,13,14,14,1,5.11
N1C1W2_CL2_1_5_D,CL2_1_5,50,1,0,333,33,13,13,13,13,1,0.02
N1C1W2_CL2_1_5_E,CL2_1_5,50,1,0,314,31,14,14,14,14,1,0.03
